stage,region,school,team,games,wins,win_rate,base_damage_total,base_damage_per_game,base_17_share,base_42_share,base_dart_share,base_damage_game_rate,median_first_base_hit_s,base_damage_received_per_game,outpost_damage_per_game,shots_per_game,hero_shots_per_game,infantry_shots_per_game,sentry_shots_per_game,enemy_half_rate,deep_rate,early_enemy_half_rate,mean_x,distance_per_game_m,sentry_mean_x,hero_mean_x,engineer_mean_x,terrain_status,terrain_game_rate,terrain_games,terrain_runs,terrain_seconds_per_game,terrain_roles,style
全国赛直通,东部赛区,中国石油大学（华东）,RPS,16,15,0.9375,28214.0,1763.375,0.6856170695399447,0.25217976890905225,0.06220316155100305,0.875,214.5,41.875,1500.0,1453.125,15.625,363.3125,339.25,0.3824652199533704,0.09628244216135892,0.21986660314435447,12.058949347954172,1453.3311847592815,8.961671527360176,12.711121642016286,9.757790314270984,中央高地已观察,1.0,16,544,185.5,英雄、工程、步兵3、步兵4、哨兵,多兵种深压、重前哨压制、17mm持续磨基
全国赛直通,东部赛区,山东科技大学,SmartRobot,17,13,0.7647058823529411,17383.0,1022.5294117647059,0.4986481044698844,0.17488350687453258,0.32646838865558303,0.6470588235294118,216.0,203.1764705882353,1564.1176470588234,1188.0,27.352941176470587,456.5882352941176,40.1764705882353,0.16354275410458385,0.036870076871974945,0.14335933208832252,9.275187458479706,969.53863121475,6.8860910719618,5.892107037505254,8.892206877113878,中央高地已观察,0.9411764705882353,16,358,178.88235294117646,工程、步兵3、步兵4,稳守反击、重前哨压制、17mm持续磨基
全国赛直通,东部赛区,合肥工业大学（宣城校区）,WDR,20,13,0.65,2195.0,109.75,0.8382687927107062,0.11617312072892938,0.04555808656036447,0.25,348.0,215.35,1500.0,1083.45,27.9,286.75,144.8,0.17425099216549114,0.021735107236125106,0.09061426936283862,10.14203135859834,1047.4200029336098,9.08026303228239,9.848890961262583,8.210146230007577,中央高地已观察,1.0,20,443,137.8,英雄、工程、步兵3、步兵4,重前哨压制
全国赛直通,东部赛区,浙江大学,Hello World,16,11,0.6875,11707.0,731.6875,0.47339198769966684,0.0,0.5266080123003332,0.5625,255.0,211.25,1500.0,1176.9375,9.5,356.0625,159.5625,0.20396166134185303,0.020038338658146963,0.15096359743040685,9.956101495207687,963.9735712931813,9.032939706396357,8.412001942327805,8.903612970711277,中央高地已观察,1.0,16,570,251.75,英雄、工程、步兵3、步兵4、哨兵,重前哨压制、飞镖磨基
全国赛直通,东部赛区,北京理工大学（珠海）,毅恒,12,8,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,568.3333333333334,1475.8333333333333,914.6666666666666,11.583333333333334,174.0,46.333333333333336,0.10500886370746289,0.001564183669922486,0.10108361636745916,8.272425701275639,683.2655290569404,8.278567574021027,6.714514131088395,5.970254549214212,中央高地已观察,0.9166666666666666,11,140,105.83333333333333,英雄、工程、步兵3、步兵4,稳守反击
全国赛直通,东部赛区,哈尔滨工业大学（深圳）,南工骁鹰,15,9,0.6,12875.0,858.3333333333334,0.6679611650485436,0.3320388349514563,0.0,0.6,262.0,603.0666666666667,1400.0,1058.6666666666667,26.866666666666667,409.4,201.53333333333333,0.13412292799004893,0.03650523241664638,0.06871948929778446,9.133416051485952,860.0666216128923,8.413850503114514,5.685669595782083,9.100817614091277,中央高地已观察,1.0,15,365,165.6,工程、步兵3、步兵4,稳守反击、17mm持续磨基
全国赛直通,东部赛区,华东理工大学,起源,13,8,0.6153846153846154,7330.0,563.8461538461538,0.4120054570259209,0.37312414733969984,0.21487039563437926,0.5384615384615384,339.0,255.0,1444.6153846153845,1148.2307692307693,17.923076923076923,365.7692307692308,260.61538461538464,0.2745878518147057,0.062370713972293615,0.12204324481207372,10.938467404249899,1254.5117904499134,9.627676118210868,11.718538044494318,8.002625213918982,中央高地已观察,1.0,13,464,219.07692307692307,英雄、工程、步兵3、步兵4、哨兵,多兵种深压、哨兵前压、混合磨基
全国赛直通,东部赛区,南京理工大学,Alliance,11,9,0.8181818181818182,1440.0,130.9090909090909,0.8125,0.11805555555555555,0.06944444444444445,0.36363636363636365,305.5,82.27272727272727,1500.0,991.0,13.727272727272727,253.54545454545453,93.18181818181819,0.2470911129150721,0.021840813328694576,0.18014440433212997,10.701291313927944,878.0318841921008,8.716062848050909,8.71793046501516,9.03506133205558,中央高地已观察,0.9090909090909091,10,276,178.27272727272728,英雄、工程、步兵3、步兵4、哨兵,中线前压、重前哨压制
全国赛直通,北部赛区,东北大学,TDT,18,15,0.8333333333333334,46374.0,2576.3333333333335,0.3660240652089533,0.4280415750204856,0.2059343597705611,0.8888888888888888,209.5,454.44444444444446,1500.0,1439.7777777777778,23.11111111111111,398.3333333333333,356.55555555555554,0.3629646367642074,0.09146989040786352,0.25769230769230766,12.30120953564559,1320.6549167464748,9.944063664388137,13.312257451112645,11.735985246134204,中央高地已观察,1.0,18,820,371.44444444444446,英雄、工程、步兵3、步兵4,多兵种深压、哨兵前压、重前哨压制、高地转点活跃
全国赛直通,北部赛区,哈尔滨工业大学,I Hiter,21,13,0.6190476190476191,6145.0,292.6190476190476,0.4100895036615134,0.03661513425549227,0.5532953620829943,0.6190476190476191,274.0,764.3809523809524,1416.5714285714287,1307.7142857142858,14.80952380952381,332.7142857142857,472.3809523809524,0.2300094527075255,0.049829272527345335,0.12624555160142348,10.446385516137175,971.2869969971298,9.328361226371598,10.616101262916226,10.189066689584042,中央高地已观察,1.0,21,723,297.04761904761904,英雄、工程、步兵3、步兵4、哨兵,哨兵前压、高地转点活跃
